epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.11266854447574126,0.11231123112311237,3.3965085819956466,3.4213184595813351
1,0.9232153869231154,0.924992499249925,0.45224871290330088,0.44373060773620293
2,0.9401823363722729,0.9405940594059405,0.35136176272552677,0.34759221499572074
3,0.9462991049850831,0.9442944294429443,0.31284698279885959,0.31073677008896056
4,0.9529325488758146,0.9516951695169517,0.27710438504604762,0.27825038259881352
5,0.9562992716545275,0.9531953195319532,0.26028258939929039,0.26285120887782742
6,0.9585659760996017,0.9552955295529553,0.24962212911311343,0.25345944718226904
7,0.9608160136002266,0.956995699569957,0.23351131113671283,0.23879338065872022
8,0.9625993766562776,0.9570957095709571,0.22418218120447034,0.23057102261532533
9,0.9642827380456341,0.9581958195819582,0.21716922636412681,0.22410456137648954
10,0.9657160952682544,0.9593959395939594,0.20996606342586191,0.2175654079336112
11,0.9665661094351572,0.961896189618962,0.20516843055991132,0.21307598193301353
12,0.9677494624910415,0.962996299629963,0.20210466770577795,0.21019121728652265
13,0.9679494658244304,0.9638963896389638,0.19552739015693651,0.20479586709570799
14,0.9687994799913332,0.9624962496249625,0.19077256831576678,0.20099049205191616
15,0.9695328255470924,0.963996399639964,0.18833183472678305,0.19890174096764854
16,0.9706328438807313,0.9657965796579658,0.18534994558629811,0.19650353526407971
17,0.9714661911031851,0.965996599659966,0.1814919343634607,0.19389159094814495
18,0.9716995283254721,0.9662966296629663,0.17787212146570761,0.18925737552998523
19,0.9722328705478425,0.9664966496649665,0.17512470841971889,0.18809171700578822
20,0.9725995433257221,0.9672967296729673,0.17495817582046647,0.18844459342101369
21,0.9733495558259304,0.9684968496849685,0.1721032391581514,0.18492329491359963
22,0.9743662394373239,0.9678967896789679,0.16905475413727228,0.18245646671592933
23,0.972799546659111,0.9686968696869687,0.17244931802073182,0.18641579516310292
24,0.9745495758262638,0.9692969296929693,0.16385985336221459,0.17861405893784379
25,0.9755662594376573,0.9697969796979697,0.16209644187875424,0.17751931795515233
26,0.9754162569376156,0.9687968796879688,0.15935589770706887,0.17532009687363406
27,0.9761162686044768,0.9688968896889689,0.1611968216848432,0.17733906632670826
28,0.9760662677711295,0.9686968696869687,0.15672642056604397,0.17366445394271607
29,0.9763329388823148,0.9702970297029703,0.15552730724781386,0.17278959351711767
30,0.976849614160236,0.9696969696969697,0.15394849969877261,0.17228142656861606
31,0.9767829463824397,0.9688968896889689,0.15488330064351014,0.17375120557365731
32,0.9765329422157036,0.9687968796879688,0.15473179818423313,0.17412071307912447
33,0.9776996283271387,0.9704970497049705,0.14975041138887141,0.16845240794589533
34,0.9780663011050185,0.9698969896989699,0.14996536052534978,0.16973661826921949
35,0.9786996449940832,0.9703970397039704,0.14968494788972922,0.16991347474038865
36,0.9784996416606944,0.9710971097109711,0.14526022118643769,0.16540101019280037
37,0.9784829747162452,0.9705970597059705,0.14629146147636801,0.16642708548425361
38,0.9789829830497175,0.9698969896989699,0.14438108800810018,0.16537217365851517
39,0.9790496508275138,0.9695969596959696,0.14398151993676225,0.16554968495144723
40,0.9784996416606944,0.9698969896989699,0.14296099954908062,0.16463202792611267
41,0.9794163236053934,0.9708970897089709,0.14247542933473417,0.16354168740927139
42,0.9800496674944582,0.9712971297129713,0.14031075685748287,0.16297083208755386
43,0.9801996699944999,0.9706970697069707,0.14129650395280877,0.16341367078842331
44,0.9799329988833148,0.970997099709971,0.1384208263483187,0.16164520456985901
45,0.9802996716611944,0.9706970697069707,0.138333338299922,0.16205725745752714
46,0.9803496724945415,0.9712971297129713,0.13644901835126527,0.16034591360588527
47,0.9807663461057684,0.9710971097109711,0.13649652637233253,0.16086083271015289
48,0.981133018883648,0.9713971397139713,0.13659345312801111,0.160046478105552
49,0.980666344439074,0.9704970497049705,0.13657472972451107,0.1606078611767745
50,0.9808330138835647,0.9706970697069707,0.13582994326851905,0.1606050310035152
51,0.9813996899948333,0.9711971197119712,0.13277021942741773,0.15741524264284948
52,0.9817663627727129,0.9721972197219722,0.13291085697520461,0.15826181556951427
53,0.9816163602726712,0.9712971297129713,0.13154019523892807,0.15702505263106203
54,0.981583026383773,0.9707970797079708,0.13337584603995276,0.15930619069387425
55,0.9818330305505092,0.9711971197119712,0.13135058905784383,0.15743853479339665
56,0.981799696661611,0.9712971297129713,0.13004791254318318,0.15581730484649578
57,0.9822163702728379,0.9714971497149715,0.12864031723912339,0.15520494058723772
58,0.9822830380506342,0.9715971597159716,0.12914612751133692,0.1557542403563664
59,0.9823497058284305,0.9715971597159716,0.12877363533139835,0.15548559621647087
60,0.9821997033283888,0.9710971097109711,0.12766970051772128,0.15534707558124242
61,0.9827663794396573,0.9701970197019703,0.12705783847614149,0.15550182281330624
62,0.9827163786063101,0.9710971097109711,0.12637952304338707,0.15381241451916577
63,0.9830163836063934,0.9715971597159716,0.1266666682070276,0.15481084280367524
64,0.9825497091618194,0.9707970797079708,0.12711482685287465,0.15605669912114001
65,0.982916381939699,0.9713971397139713,0.12437129813273119,0.15265716995277792
66,0.9831663861064351,0.9712971297129713,0.12795892681195489,0.15752304389539196
67,0.9832830547175786,0.9710971097109711,0.12352120168892358,0.15281140959782194
68,0.9833330555509259,0.9720972097209721,0.12329087750056965,0.15239980786192317
69,0.9835330588843147,0.9717971797179717,0.12381866846837751,0.15398357240870514
70,0.9834163902731712,0.9714971497149715,0.12371412362928173,0.1531204183158722
71,0.9831163852730879,0.9707970797079708,0.12383494532062148,0.15454721199838267
72,0.9834163902731712,0.9714971497149715,0.12161189396569901,0.15160155599578143
73,0.9833163886064767,0.9717971797179717,0.12144020870832556,0.15186520016811109
74,0.9840330672177869,0.9725972597259726,0.12203362754829671,0.15225471475671029
75,0.9835163919398656,0.9710971097109711,0.1206093988400989,0.15141616992212864
76,0.9840330672177869,0.9728972897289729,0.12061307020583611,0.15087076112805831
77,0.9843997399956665,0.9723972397239724,0.11961029495535347,0.15089266866990514
78,0.9843664061067684,0.9727972797279728,0.12216009835036691,0.15391686193734219
79,0.9842830713845231,0.973997399739974,0.11964791823444092,0.15052380467330892
80,0.9841330688844814,0.9716971697169717,0.11832335011035859,0.15037265061631297
81,0.9844330738845647,0.9727972797279728,0.11862497330129496,0.15081127012096343
82,0.9841497358289305,0.9724972497249725,0.11817667712673481,0.15004475859964431
83,0.9843997399956665,0.9731973197319732,0.11713577503376656,0.14882859515477548
84,0.984483074717912,0.9737973797379738,0.11686876125998574,0.1482194509860153
85,0.9844164069401157,0.9728972897289729,0.11785120052572323,0.15008511759012289
86,0.9844497408290138,0.9731973197319732,0.11667296469703602,0.14950181156563275
87,0.98469974499575,0.9728972897289729,0.11537405702462547,0.14829611814574448
88,0.9842830713845231,0.972997299729973,0.11612225569910281,0.14837602193136382
89,0.9848664144402407,0.9726972697269727,0.11581695598354202,0.14894234306194448
90,0.984949749162486,0.9720972097209721,0.11464911556639237,0.14892027263376995
91,0.9848997483291388,0.9731973197319732,0.1143457877028498,0.14825293884186183
92,0.9848330805513426,0.9731973197319732,0.1142910140714868,0.14765647684208236
93,0.9851997533292222,0.972997299729973,0.11614421226740347,0.1497514637266141
94,0.9854164236070602,0.9738973897389739,0.11494867372791417,0.14913195492892489
95,0.985166419440324,0.9736973697369737,0.11252483763720252,0.14657691803879461
96,0.9852164202736712,0.9732973297329733,0.114558801267864,0.14972341469005632
97,0.9854830913848565,0.9734973497349735,0.11201773666043822,0.14701007714729397
98,0.9850330838847314,0.9727972797279728,0.1130999487839098,0.14773106339753658
99,0.985399756662611,0.9734973497349735,0.11238969019488149,0.14694558868121946
