epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.22795379922998715,0.22792279227922796,3.991716459792118,4.0173802933947833
1,0.9265487758129303,0.9271927192719271,0.41259367170949873,0.40620207863822805
2,0.9450657510958516,0.9431943194319432,0.32173479487530598,0.32103428493937186
3,0.9534492241537359,0.9511951195119512,0.27834623830280131,0.27995788978467245
4,0.956149269154486,0.9548954895489549,0.26029919889139264,0.26540535433192652
5,0.958882648044134,0.9554955495549555,0.25233553789777874,0.25909021895089795
6,0.9608660144335739,0.957995799579958,0.22891165788533965,0.23531042503114097
7,0.9629493824897082,0.9583958395839584,0.2187975847431867,0.22816669659162914
8,0.9650994183236388,0.960996099609961,0.21357707087621661,0.22254096675701521
9,0.965599426657111,0.9615961596159616,0.20391070402905589,0.21429120912003224
10,0.9670994516575276,0.9634963496349634,0.19614340906795308,0.20699958098611815
11,0.9683328055467592,0.9634963496349634,0.19613970649528387,0.20707586667529065
12,0.9673494558242637,0.9628962896289629,0.19609848575688041,0.20768239473392586
13,0.9691494858247638,0.9640964096409641,0.20044127035125067,0.21308623681996897
14,0.9709661827697128,0.9667966796679668,0.17987900905515466,0.19250970186751659
15,0.9718495308255137,0.9664966496649665,0.17650725051853788,0.18952924551597852
16,0.973032883881398,0.9667966796679668,0.17294853062916155,0.18670623530886465
17,0.9725995433257221,0.9661966196619662,0.17591864214609251,0.19079916788585566
18,0.9736328938815647,0.9684968496849685,0.17181011316638517,0.18650168258485073
19,0.9731662194369907,0.966996699669967,0.1741532116288223,0.18986541659820422
20,0.9747495791596527,0.9674967496749675,0.1810965648381398,0.19728817599189721
21,0.9737828963816063,0.9661966196619662,0.16967186946113513,0.18562103197479926
22,0.9762996049934165,0.9688968896889689,0.16155963321342623,0.17883178537850777
23,0.9764662744379073,0.9690969096909691,0.15602654263047225,0.17429891513927864
24,0.9757662627710462,0.9678967896789679,0.15800841821166256,0.17701121707954989
25,0.9760162669377823,0.9688968896889689,0.15780196918957681,0.17621162871046317
26,0.9768996149935832,0.9687968796879688,0.15098981024021599,0.17006198697574715
27,0.9773662894381573,0.9692969296929693,0.15914155782423067,0.17942530214167185
28,0.9777996299938332,0.9697969796979697,0.15300581279300834,0.1734120419010923
29,0.9774496241604027,0.9693969396939695,0.14996014194685842,0.17037258999704938
30,0.9778162969382823,0.970997099709971,0.14871655671531755,0.16866036728335201
31,0.9785163086051434,0.9698969896989699,0.14497310350989995,0.16606211581440672
32,0.978632977216287,0.9688968896889689,0.14700334926498049,0.16864506462603765
33,0.9783996399939999,0.9684968496849685,0.15251161141039524,0.17310923675497572
34,0.9794829913831897,0.9708970897089709,0.14067192866468103,0.16251421619535908
35,0.9794329905498425,0.9708970897089709,0.14133838046556688,0.16266622519356766
36,0.9780663011050185,0.9676967696769677,0.16112254142932822,0.18284284377444476
37,0.9803330055500925,0.9711971197119712,0.13835626214917515,0.16209114271360001
38,0.979332988883148,0.9694969496949695,0.15174416960186723,0.17716979530966906
39,0.9802663377722962,0.9714971497149715,0.14169542818346259,0.16633078846962779
