epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.12020200336672282,0.1164116411641164,4.8585995762947221,4.7839879448193461
1,0.8913815230253838,0.8917891789178918,0.50142468170658705,0.49042470419103718
2,0.907398456640944,0.9088908890889089,0.4001939798230249,0.39141936411808115
3,0.9164319405323422,0.9164916491649164,0.34774425606208142,0.33969505804502464
4,0.9243154052567543,0.9232923292329233,0.31514550836873373,0.30927307487348882
5,0.9282488041467358,0.9257925792579258,0.29326890377713888,0.28989932546404501
6,0.9315821930365507,0.9267926792679267,0.27897959641646553,0.27758117931630139
7,0.9345489091484858,0.9322932293229322,0.26676422354675394,0.26513076336997599
8,0.9356655944265738,0.9328932893289329,0.25750683789533302,0.25719946797464616
9,0.9379489658160969,0.9358935893589359,0.25091166357924755,0.25192324401998029
10,0.9399323322055367,0.9388938893889389,0.24359704638207341,0.24485552596893481
11,0.941115685261421,0.9377937793779378,0.23741082883074618,0.24105098707763142
12,0.9416823613726896,0.9389938993899389,0.23166724368158426,0.23554049301368596
13,0.9428490474841247,0.9412941294129413,0.22699105858256782,0.23136510390984932
14,0.9436823947065784,0.9398939893989399,0.2238194478333069,0.22962967917330437
15,0.9454657577626294,0.9414941494149415,0.21857825115379684,0.22563411039505665
16,0.9456657610960183,0.9413941394139413,0.21463549711946522,0.22203272643553684
17,0.9477491291521525,0.9440944094409441,0.21170557943166204,0.21908434407971006
18,0.9479991333188886,0.9445944594459446,0.20797550103365856,0.21552128970174547
19,0.9497824963749396,0.9442944294429443,0.20410939890319182,0.21318627665819409
20,0.9502325038750645,0.944994499449945,0.20113376344325826,0.21105047351954939
21,0.9502491708195137,0.9434943494349435,0.19988572452085066,0.2104134121984603
22,0.9515491924865415,0.9457945794579458,0.19689985488248071,0.20834165129997817
23,0.9519658660977683,0.945994599459946,0.19346718366731913,0.20432033240607725
24,0.9529658827647127,0.9470947094709471,0.19074286522084016,0.20245141311891313
25,0.9531658860981016,0.9470947094709471,0.18976597945596013,0.20230549863128283
26,0.9537825630427174,0.9475947594759476,0.1864326211044452,0.19963706913367404
27,0.9546659110985183,0.9473947394739474,0.18563280724797621,0.198904145990596
28,0.9549825830430507,0.9495949594959496,0.1829672897004215,0.19498633445828961
29,0.9554159235987266,0.94999499949995,0.1801715020212922,0.19268520826762997
30,0.9557992633210554,0.9497949794979498,0.17936822425686036,0.19286370377378242
31,0.9565492758212637,0.9496949694969496,0.17696389365423359,0.19158119337703861
32,0.9566659444324072,0.948994899489949,0.17587214717256794,0.19061144755882023
33,0.9571492858214303,0.9511951195119512,0.17345462681284626,0.18831775398635947
34,0.9578659644327405,0.95009500950095,0.17242636458435684,0.18775720859257855
35,0.9572659544325739,0.9503950395039504,0.17218387662512169,0.18769655392315635
36,0.9577492958215971,0.9501950195019502,0.16993789056710534,0.18698220537653959
37,0.9585493091551526,0.9504950495049505,0.1673901877745527,0.18349493283455712
38,0.9591326522108702,0.9510951095109511,0.1660238572040964,0.18310830159624106
39,0.9592826547109119,0.9516951695169517,0.16510654108586992,0.18088576444046131
40,0.9596159935998934,0.9520952095209521,0.16357774165809816,0.18001830813741262
41,0.9592826547109119,0.9502950295029503,0.16511417943892248,0.1837757014832446
42,0.9602993383223054,0.9511951195119512,0.16160515619445628,0.17972466211608501
43,0.9600826680444674,0.9516951695169517,0.16048486474928148,0.17939825614442126
44,0.9603326722112036,0.9513951395139514,0.15902316456350338,0.17775847435258058
45,0.960449340822347,0.9511951195119512,0.15833937930587791,0.1775386638523388
46,0.9610326838780646,0.951995199519952,0.1571482196272054,0.1775397920928419
47,0.9612660211003516,0.9528952895289529,0.15588628543160399,0.17498335247635771
48,0.9616826947115785,0.9516951695169517,0.15522776323335172,0.17594694721785453
49,0.9623993733228887,0.9525952595259526,0.15456378516766067,0.17491577958881402
