epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.11185186419773663,0.118011801180118,3.2472937235659933,3.2411399155016185
1,0.9034317238620644,0.907090709070907,0.46002819806131812,0.44969129046324868
2,0.9180319671994533,0.9213921392139214,0.36684892381219131,0.35924775081919658
3,0.9262154369239487,0.9272927292729273,0.32300843585728667,0.3178147387727896
4,0.9309321822030368,0.9284928492849285,0.29673513613309255,0.29422390504016782
5,0.9347155785929766,0.9340934093409341,0.28106719680924624,0.28015225440284447
6,0.9372989549825831,0.934993499349935,0.26598176450891786,0.26660986510409285
7,0.9389989833163886,0.9351935193519352,0.25657047572783714,0.2576817263845762
8,0.9412656877614627,0.9385938593859386,0.24618415799244553,0.24791196028823909
9,0.9428157135952266,0.9389938993899389,0.23796969799522441,0.24161511661617388
10,0.944482408040134,0.9417941794179417,0.23005740099061237,0.23490339894173254
11,0.945599093318222,0.9422942294229423,0.22597841856992573,0.23040066375688606
12,0.9468491141519025,0.941994199419942,0.21914092584225744,0.22395471161498293
13,0.9490324838747313,0.9437943794379438,0.21506291021605942,0.22129466211440418
14,0.9494991583193053,0.9442944294429443,0.20960690518858799,0.21630454159459292
15,0.9497324955415923,0.9458945894589459,0.20585995576270055,0.212307610953055
16,0.951682528042134,0.9458945894589459,0.20236875437369789,0.21024495337078919
17,0.95211586859781,0.9467946794679468,0.1993619742539548,0.20695268422916974
18,0.9526992116535276,0.9466946694669467,0.19522728153877275,0.20250291660949687
19,0.9536158935982266,0.9461946194619462,0.1924212701732502,0.20185142428249095
20,0.9539158985983099,0.9488948894889488,0.19035166154222372,0.19885598027076484
21,0.9549659160986016,0.9488948894889488,0.18790812644865876,0.19718052033373362
22,0.9549492491541526,0.9481948194819482,0.18586508569942328,0.19582239041160776
23,0.9557159285988099,0.948994899489949,0.18236800676188125,0.19339937359916687
24,0.9562992716545275,0.9487948794879488,0.18215585458404476,0.19391963918030256
25,0.9569326155435924,0.9511951195119512,0.1772737647352649,0.18879110192615578
26,0.9570492841547359,0.9494949494949495,0.17650317129148893,0.19046118991806313
27,0.9579826330438841,0.9502950295029503,0.17451939748014103,0.1879909615369319
28,0.957965966099435,0.9498949894989499,0.17210800823925337,0.18588958690501259
29,0.9581326355439257,0.94999499949995,0.17042506673406654,0.18423380136073134
30,0.9591659860997683,0.9510951095109511,0.16895594543853065,0.18274191165608686
31,0.9591993199886665,0.9505950595059506,0.1684314324009909,0.18369894521758429
32,0.9601826697111618,0.9533953395339534,0.16456718171176193,0.17952961185765745
33,0.960432673877898,0.9518951895189519,0.16303790930589504,0.17929024868984084
34,0.9609826830447175,0.9526952695269527,0.162309836993838,0.1793492093078386
35,0.9607493458224303,0.9524952495249525,0.16144958562320344,0.17689776976398031
36,0.9616826947115785,0.9533953395339534,0.1595200549780465,0.17634004704342032
37,0.9620993683228054,0.9532953295329533,0.15787698543442993,0.17633510423169557
38,0.962232703878398,0.9534953495349535,0.15716408089077771,0.17619454614316049
39,0.9623493724895414,0.952995299529953,0.15667294301902179,0.17532125148394656
40,0.9629993833230553,0.9536953695369537,0.15507884117732604,0.17441051991850809
41,0.96291604860081,0.9539953995399539,0.15340075654779409,0.17294090818301977
42,0.9628160469341156,0.9539953995399539,0.15242892572410308,0.17160027583871934
43,0.9635493924898748,0.954995499549955,0.15083209447836982,0.16988429878109046
44,0.96381606360106,0.9548954895489549,0.14976167361029674,0.16954468771834394
45,0.9640994016566943,0.9551955195519553,0.14845054330103621,0.1688009061034986
46,0.9645327422123702,0.9551955195519553,0.14705516001874849,0.16703955455861225
47,0.9650494174902915,0.9551955195519553,0.14626189358762015,0.1680713452651417
48,0.9645160752679212,0.9560956095609561,0.14675498608092882,0.16873029509266052
49,0.9648160802680045,0.9555955595559555,0.14427910672225161,0.16541582438262906
50,0.9654327572126202,0.9553955395539554,0.14342083428109412,0.16594905428736742
51,0.9656827613793564,0.9550955095509551,0.14309953748974805,0.16713700418908442
52,0.9656660944349073,0.9552955295529553,0.14218218539074373,0.16635689528679717
53,0.9665994433240555,0.9564956495649565,0.14124972309729969,0.16457566423027559
54,0.9667161119351989,0.9564956495649565,0.13952044244854472,0.16278312628599195
55,0.9662494374906249,0.9560956095609561,0.13902469185487298,0.16323197814989851
56,0.9665494424907082,0.9568956895689569,0.13821561030785737,0.16238053920770776
57,0.9663161052684212,0.9566956695669567,0.13780919225589852,0.16258854143295248
58,0.9669494491574859,0.9564956495649565,0.13680056500887255,0.16276302909334298
59,0.9672327872131202,0.9571957195719571,0.13643962517242519,0.16233555061747781
60,0.967632793879898,0.9565956595659566,0.13468415555283766,0.16086471736832009
61,0.9678994649910831,0.9563956395639563,0.13404805022117958,0.15990519622077803
62,0.9682828047134119,0.9559955995599559,0.13324574521219718,0.15982564813048858
63,0.968099468324472,0.9574957495749575,0.13321873222312586,0.160301392692734
64,0.968299471657861,0.9567956795679567,0.13170866047925306,0.15860642061498034
65,0.9683828063801063,0.9577957795779578,0.13117076742143752,0.15856147386769859
66,0.9688994816580276,0.9559955995599559,0.13114851070089065,0.16064303869507543
67,0.9688161469357822,0.9568956895689569,0.13080251629385178,0.1602923497063968
68,0.9688328138802313,0.956995699569957,0.12909654115853006,0.1581801816037007
69,0.9687994799913332,0.9573957395739574,0.12826425601593947,0.1563227144397259
70,0.9687494791579859,0.9577957795779578,0.12880597839765823,0.15732011074589008
71,0.9697328288804813,0.9567956795679567,0.1269732116265507,0.15693289902953256
72,0.9698494974916249,0.9566956695669567,0.12760426583635348,0.15714831101445731
73,0.9699994999916666,0.9568956895689569,0.12610324219082419,0.15669590503617251
74,0.9700328338805647,0.9565956595659566,0.12601061479527417,0.15629294642958982
75,0.9700828347139119,0.9571957195719571,0.12551706651673672,0.15642804813976466
76,0.970349505825097,0.9572957295729573,0.1244857381682024,0.15530375512220765
77,0.97011616860281,0.9574957495749575,0.12397394757140567,0.15543326874244115
78,0.9704495074917915,0.9574957495749575,0.12412158195520612,0.15641611902136221
79,0.9705995099918332,0.9571957195719571,0.12275770203298289,0.15451082117131734
80,0.9709661827697128,0.9557955795579558,0.12246371678216951,0.15594543745365549
81,0.9709161819363656,0.9560956095609561,0.1231067123034037,0.15677296459179596
82,0.9711328522142035,0.9573957395739574,0.12139535723810112,0.15304570104199869
83,0.9717161952699211,0.9575957595759576,0.12056336645065899,0.1534717230082317
84,0.9713161886031434,0.9578957895789579,0.12066437986683641,0.1532628843792207
85,0.9710995183253054,0.9573957395739574,0.12035802548127034,0.15403918318457915
86,0.9713828563809397,0.9570957095709571,0.11992481805572103,0.15377668771169439
87,0.9720662011033517,0.9568956895689569,0.11907279527184503,0.15282979996351934
88,0.971899531658861,0.957995799579958,0.11861240867447372,0.15227915620189822
89,0.9719495324922082,0.9587958795879588,0.11823649802315975,0.15153913444048495
90,0.9725495424923749,0.9575957595759576,0.11769248995898114,0.15206762300735163
91,0.972366206103435,0.9571957195719571,0.11715910735069932,0.15202133459732681
92,0.9722495374922915,0.9572957295729573,0.11718065484135129,0.15258180709577773
93,0.9725662094368239,0.9570957095709571,0.11664875715668362,0.15204879518687245
94,0.9728995483258054,0.9571957195719571,0.1162386476125722,0.1531670469644679
95,0.9727495458257638,0.9575957595759576,0.11531074546183118,0.15184218643322081
96,0.9733995566592777,0.957995799579958,0.1157193083444142,0.15191043119205722
97,0.9735495591593193,0.9576957695769577,0.11519947399401896,0.15269529675313412
98,0.9730828847147452,0.9576957695769577,0.11499014422239807,0.15158259452949222
99,0.9733328888814814,0.9584958495849585,0.1139208663730915,0.15082284151506473
