epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.09853497558292634,0.10451045104510448,3.6460433149704441,3.6674049592997089
1,0.9237987299788329,0.9248924892489249,0.44341483684605448,0.43905441711861781
2,0.9427157119285321,0.9396939693969397,0.34039312028658314,0.34245130906757426
3,0.952332538875648,0.9504950495049505,0.29222406901207876,0.29398514447004381
4,0.9554325905431758,0.9538953895389539,0.2668104074698105,0.27063310230342302
5,0.9607826797113286,0.9564956495649565,0.24257501690137989,0.2494757530452669
6,0.9640160669344489,0.9588958895889589,0.22548768123567278,0.23329859329880526
7,0.9666161102685045,0.9628962896289629,0.21294874625758836,0.22168504911759523
8,0.9684494741579026,0.9631963196319632,0.20114595547808767,0.21093499353325293
9,0.9694994916581943,0.9644964496449645,0.19887863156686797,0.20947444109393806
10,0.9710995183253054,0.964996499649965,0.18738384476549344,0.19973706811886974
11,0.9722995383256388,0.9654965496549655,0.17765721497591522,0.19085728063454446
12,0.9737495624927082,0.9666966696669667,0.17100768107633854,0.1846738760541996
13,0.9743329055484258,0.9671967196719672,0.16635486127110735,0.18026058106171469
14,0.9753662561042684,0.9677967796779678,0.15972774405764717,0.17476961803164828
15,0.9758329305488425,0.9686968696869687,0.15668495700302246,0.1731615106650681
16,0.9766662777712962,0.9693969396939695,0.15125894898589748,0.16848959489338342
17,0.9771162852714211,0.9698969896989699,0.14872204787503324,0.16555163159931716
18,0.9776496274937916,0.9697969796979697,0.14470232622604801,0.16253627797230441
19,0.9788329805496758,0.9707970797079708,0.13894619124191965,0.15775024987389383
20,0.9791329855497591,0.9717971797179717,0.13730768282069544,0.1561540636271625
21,0.9791329855497591,0.9718971897189719,0.13720466146432514,0.15645783876070668
22,0.9807330122168703,0.9727972797279728,0.1299610459671767,0.15062931414034406
23,0.9810663511058517,0.9715971597159716,0.13124857560243886,0.15253653779392609
24,0.9818663644394073,0.9720972097209721,0.12675973420435507,0.14826517075668219
25,0.9819663661061018,0.9725972597259726,0.12354456661261191,0.14493527035015172
26,0.982449707495125,0.9727972797279728,0.12128430099578905,0.14396445482621967
27,0.983149719161986,0.9727972797279728,0.11891730188961513,0.14101409052645614
28,0.983133052217537,0.9734973497349735,0.11810150492279702,0.14106124125429997
29,0.9832997216620277,0.9733973397339734,0.11358090436901806,0.13656545102359194
30,0.9837330622177036,0.9732973297329733,0.11181123933444639,0.13579624391821513
31,0.9842997383289721,0.9744974497449745,0.11186058544203356,0.13612939330144963
32,0.984716411940199,0.9738973897389739,0.10775490320231737,0.13256316541433336
33,0.9850664177736296,0.9741974197419742,0.10564513307328684,0.13007176365106274
34,0.9849997499958333,0.9747974797479748,0.10415221273238422,0.12972768162646453
35,0.9856997616626944,0.9745974597459746,0.10497455336886434,0.13087376071595275
36,0.9856330938848981,0.9741974197419742,0.10050037689709385,0.12658074502447439
37,0.9860997683294721,0.9756975697569757,0.10037536703645054,0.12614035807412177
38,0.9862164369406157,0.9751975197519752,0.097475721774203231,0.12457597746227149
39,0.9865997766629444,0.9755975597559756,0.096365330098252294,0.12324899008553743
40,0.9870664511075184,0.9756975697569757,0.097029076550506757,0.12474865833262717
41,0.986966449440824,0.9755975597559756,0.093987522423497366,0.12217397879911414
42,0.9877831297188286,0.9767976797679768,0.091691597816247153,0.12003276996704557
43,0.9877997966632778,0.9772977297729772,0.09045529485389775,0.1196605990941009
44,0.9878331305521759,0.9763976397639764,0.089476857745695276,0.11834654108216563
